pair,acronym,description,frequency_all_disciplines
"('MPVh', 'metapneumovirus humano')",MPVh,metapneumovirus humano,3
"('SMS', 'servicio murciano de salud')",SMS,servicio murciano de salud,10
"('IFI', 'inmunofluorescenia')",IFI,inmunofluorescenia,1
"('ACT', 'asthma control test')",ACT,asthma control test,1
"('NLP-CR', 'nefrolitectomía percutánea de calibre reducido')",NLP-CR,nefrolitectomía percutánea de calibre reducido,2
"('VDA', 'volumen de dieta administrada')",VDA,volumen de dieta administrada,4
"('Co', 'colina')",Co,colina,2
"('ASIS', 'análisis de situación de salud')",ASIS,análisis de situación de salud,2
"('O.I.', 'oxitetraciclina insoluble')",O.I.,oxitetraciclina insoluble,1
"('SENP', 'sociedad española de neumología pediátrica')",SENP,sociedad española de neumología pediátrica,8
"('DSE', 'disección submucosa endoscópica')",DSE,disección submucosa endoscópica,4
"('PpR', 'presupuesto por resultados')",PpR,presupuesto por resultados,1
"('SAFP', 'síndrome antifosfolípido primario')",SAFP,síndrome antifosfolípido primario,4
"('Nematoda', 'nematodo romanomermis iyengari')",Nematoda,nematodo romanomermis iyengari,2
"('APC', 'apexcardiograma')",APC,apexcardiograma,2
"('ESO', 'enseñanza secundaria obligatoria')",ESO,enseñanza secundaria obligatoria,1
"('LMA', 'leucemia mieloide aguda')",LMA,leucemia mieloide aguda,10
"('Acari', 'amblyomma triste en simpatría con amblyomma tigrinum')",Acari,amblyomma triste en simpatría con amblyomma tigrinum,2
"('ROC', 'receiver operating characteristic”')",ROC,receiver operating characteristic”,1
"('E.E.P.', 'estenosante postoperatoria')",E.E.P.,estenosante postoperatoria,2
"('PCE', 'programa comedores escolares')",PCE,programa comedores escolares,1
"('UCIP', 'unidad de cuidado intensivo pediátrico')",UCIP,unidad de cuidado intensivo pediátrico,1
"('CHB', 'comités hospitalarios de bioética')",CHB,comités hospitalarios de bioética,1
"('FINC-NA', 'familia en los cuidados de enfermería. validación de la versión española')",FINC-NA,familia en los cuidados de enfermería. validación de la versión española,1
"('HP', 'helicobacter pylori')",HP,helicobacter pylori,4
"('IIU', 'inseminación intrauterina')",IIU,inseminación intrauterina,2
"('CPTD', 'colangio-pancreatografía transduodenoscópica')",CPTD,colangio-pancreatografía transduodenoscópica,4
"('C.G.T.', 'cáncer gástrico temprano')",C.G.T.,cáncer gástrico temprano,3
"('CIV', 'comunicacción interventricular')",CIV,comunicacción interventricular,1
"('CPRM', 'colangiopancreatografía por resonancia magnética')",CPRM,colangiopancreatografía por resonancia magnética,3
"('CFTNM', 'carcinoma familiar del tiroides no medular')",CFTNM,carcinoma familiar del tiroides no medular,4
"('DE 31.52', 'de 31.52 mmhg')",DE 31.52,de 31.52 mmhg,3
"('Acari', 'abundancia relativa de amblyomma spp.')",Acari,abundancia relativa de amblyomma spp.,2
"('ERCT', 'enfermedad renal crónica terminal')",ERCT,enfermedad renal crónica terminal,14
"('SLE', 'systemic lupus erythematosus')",SLE,systemic lupus erythematosus,4
"('FDAEI', 'frecuencia de descarga de la actividad epileptiforme interictal')",FDAEI,frecuencia de descarga de la actividad epileptiforme interictal,1
"('ECA', 'enzima conversora de angiotensina')",ECA,enzima conversora de angiotensina,4
"('SOP', 'síndrome de ovario poliquístico')",SOP,síndrome de ovario poliquístico,10
"('GGT', 'gama glutamil transferasa')",GGT,gama glutamil transferasa,4
"('AUM', 'acropatía ulceromutilante')",AUM,acropatía ulceromutilante,1
"('EHEC', 'enterohemorrágico')",EHEC,enterohemorrágico,4
"('ATC', 'artroplastia total de cadera')",ATC,artroplastia total de cadera,5
"('UVI', 'unidad de vigilancia intensiva')",UVI,unidad de vigilancia intensiva,2
"('DMSO', 'dimetil sulfoxido')",DMSO,dimetil sulfoxido,2
"('EvW', 'enfermedad de von willebrand')",EvW,enfermedad de von willebrand,5
"('PICI', 'plan integral de cardiopatía isquémica')",PICI,plan integral de cardiopatía isquémica,2
"('edad media', 'enero 2014. se recogieron datos demográficos y clínicos. resultados: se incluyeron 15 pacientes')",edad media,enero 2014. se recogieron datos demográficos y clínicos. resultados: se incluyeron 15 pacientes,4
"('ER', 'enfermedades respiratorias')",ER,enfermedades respiratorias,3
"('GPC', 'guías de práctica clínica')",GPC,guías de práctica clínica,9
"('EMBL', 'epilepsia mioclonica benigna del lactante')",EMBL,epilepsia mioclonica benigna del lactante,3
"('B.R.', 'biopsias randomizadas')",B.R.,biopsias randomizadas,5
"('ICV', 'indice de calidad de vida')",ICV,indice de calidad de vida,3
"('EAPAF', 'escala de autopercepción de la aptitud física')",EAPAF,escala de autopercepción de la aptitud física,1
"('DM', 'dismorfia muscular')",DM,dismorfia muscular,9
"('c-HDL', 'colesterol hdl')",c-HDL,colesterol hdl,3
"('Rop', 'ropivacaína')",Rop,ropivacaína,2
"('CEIPC', 'comité español interdisciplinario para la prevención cardiovascular')",CEIPC,comité español interdisciplinario para la prevención cardiovascular,4
"('TEA', 'trastornos del espectro autista')",TEA,trastornos del espectro autista,30
"('ST', 'sepsis tardía')",ST,sepsis tardía,5
"('HNERM', 'hospital nacionaledgardo rebagliati martins')",HNERM,hospital nacionaledgardo rebagliati martins,1
"('SPSC', 'shunt porto-sistémico congénito')",SPSC,shunt porto-sistémico congénito,1
"('UCEM', 'unidad de corta estancia médica')",UCEM,unidad de corta estancia médica,1
"('DS', 'desviación estándar')",DS,desviación estándar,3
"('ENH', 'encuesta de nutrición hospitalaria')",ENH,encuesta de nutrición hospitalaria,2
"('BP', 'bordetella pertussis')",BP,bordetella pertussis,2
"('AM', 'adultos mayores')",AM,adultos mayores,16
"('ICIQ-SF', 'incontinence questionnaire short-form')",ICIQ-SF,incontinence questionnaire short-form,9
"('SUH', 'servicio de urgencias hospitalario')",SUH,servicio de urgencias hospitalario,37
"('MTP', 'metilprednisolona')",MTP,metilprednisolona,2
"('DE 3,8', 'de 11,8')","DE 3,8","de 11,8",3
"('AT', 'accidentes de trabajo')",AT,accidentes de trabajo,1
"('VMA', 'vinilmandélico')",VMA,vinilmandélico,3
"('EPOC', 'enfermedad pulmonar obstructiva cronica')",EPOC,enfermedad pulmonar obstructiva cronica,3
"('GENI', 'grupo español de neurorradiología intervencionista')",GENI,grupo español de neurorradiología intervencionista,11
"('TAB', 'tasa anualizada de brotes')",TAB,tasa anualizada de brotes,6
"('WURS', 'wender-utah rating scale')",WURS,wender-utah rating scale,2
"('SN', 'stifneck')",SN,stifneck,3
"('AEEH', 'asociación española para el estudio del hígado')",AEEH,asociación española para el estudio del hígado,3
"('Cr', 'creatinina')",Cr,creatinina,5
"('IC', 'inmunocomplejos')",IC,inmunocomplejos,3
"('TCSS', 'toronto clinical scoring system')",TCSS,toronto clinical scoring system,5
"('LANL', 'leucemia aguda no linfoblástica')",LANL,leucemia aguda no linfoblástica,2
"('SChS', 'síndrome de churg-strauss')",SChS,síndrome de churg-strauss,5
"('VPH', 'virus de papiloma humano')",VPH,virus de papiloma humano,37
"('HECMNSXXI', 'hospital de especialidades del centro médico nacional siglo xxi')",HECMNSXXI,hospital de especialidades del centro médico nacional siglo xxi,4
"('HET-CAM', 'hen s egg test-chorioallantoic membrane')",HET-CAM,hen s egg test-chorioallantoic membrane,1
"('Chile', 'consumo habitual por la población humana de valdivia')",Chile,consumo habitual por la población humana de valdivia,3
"('MEN 2', 'múltiple tipo 2')",MEN 2,múltiple tipo 2,3
"('VMI', 'ventilación mandatoria intermitente')",VMI,ventilación mandatoria intermitente,1
"('LCR', 'líquido céfalo-raquideo')",LCR,líquido céfalo-raquideo,2
"('ARM', 'aceite de rosa mosqueta')",ARM,aceite de rosa mosqueta,2
"('Guatemala', 'guatemala.')",Guatemala,guatemala.,1
"('GER', 'gasto energético en reposo')",GER,gasto energético en reposo,11
"('CCC', 'cáncer de cabeza y cuello')",CCC,cáncer de cabeza y cuello,5
"('HNHU', 'hospital nacional hipolito unanue')",HNHU,hospital nacional hipolito unanue,4
"('GRECA', 'grupo de estudio de la calidad asistencial')",GRECA,grupo de estudio de la calidad asistencial,2
"('AH', 'atención hospitalaria')",AH,atención hospitalaria,1
"('BS', 'bicarbonato sódico')",BS,bicarbonato sódico,1
"('IMSS', 'instituto mexicano seguro social')",IMSS,instituto mexicano seguro social,3
"('SNG', 'sondas nasogástricas')",SNG,sondas nasogástricas,1
"('SMet', 'síndrome metabólico')",SMet,síndrome metabólico,2
"('SCN', 'staphylococcus coagulasa negativo')",SCN,staphylococcus coagulasa negativo,4
"('CAFYD', 'ciencias de la actividad física y del deporte')",CAFYD,ciencias de la actividad física y del deporte,4
"('ASSIST', 'and substance involvement screening test')",ASSIST,and substance involvement screening test,1
"('NCT', 'nefropatía crónica del trasplante')",NCT,nefropatía crónica del trasplante,6
"('R.T.C.', 'resección transcervical')",R.T.C.,resección transcervical,6
"('TTVCI', 'trombosis tumoral en vena cava inferior')",TTVCI,trombosis tumoral en vena cava inferior,3
"('IMP', 'internado médico de pregrado')",IMP,internado médico de pregrado,1
"('AL', 'ascaris lumbricoides')",AL,ascaris lumbricoides,1
"('TIAM', 'trombectomia intraarterial mecanica')",TIAM,trombectomia intraarterial mecanica,7
"('RTA', 'retiniano')",RTA,retiniano,1
"('CC', 'contorno de cintura')",CC,contorno de cintura,12
"('TEM', 'trietilenmelamina')",TEM,trietilenmelamina,1
"('SEHER', 'sociedad española de heridas')",SEHER,sociedad española de heridas,1
"('ICNND', 'interdepartamental commitee on nutririon for national defense')",ICNND,interdepartamental commitee on nutririon for national defense,2
"('AC', 'anticuerpos')",AC,anticuerpos,1
"('BCG', 'bacillus calmette-guerin')",BCG,bacillus calmette-guerin,4
"('RSIM', 'romanian society of internal medicine')",RSIM,romanian society of internal medicine,4
"('IES', 'institutos de enseñanza secundaria')",IES,institutos de enseñanza secundaria,1
"('Hb', 'hemoglobina')",Hb,hemoglobina,5
"('IMC', 'interpretación del índice de masa corporal')",IMC,interpretación del índice de masa corporal,1
"('MEF', 'método de los elementos finitos')",MEF,método de los elementos finitos,2
"('SEMICYUC', 'sociedad española de medicina intensiva crítica y unidades coronarias')",SEMICYUC,sociedad española de medicina intensiva crítica y unidades coronarias,1
"('SURPS', 'substance use risk profile scale')",SURPS,substance use risk profile scale,2
"('EEH', 'exceso de estancia hospitalaria')",EEH,exceso de estancia hospitalaria,4
"('UCIN', 'unidad de cuidados intensivos neonatales')",UCIN,unidad de cuidados intensivos neonatales,13
"('CCU', 'centro coordinador de urgencias')",CCU,centro coordinador de urgencias,1
"('PCAV', 'prueba de actitudes y conocimientos sobre la vejez')",PCAV,prueba de actitudes y conocimientos sobre la vejez,2
"('PF', 'prótesis fonatoria')",PF,prótesis fonatoria,4
"('VSG-GP', 'valoración subjetiva global generada por el paciente')",VSG-GP,valoración subjetiva global generada por el paciente,2
"('EMM', 'enfermedad de moyamoya')",EMM,enfermedad de moyamoya,3
"('GINA', 'global initiative for asthma')",GINA,global initiative for asthma,3
"('LEG', 'lupus eritematoso generalizado')",LEG,lupus eritematoso generalizado,3
"('AMA', 'antimiosina')",AMA,antimiosina,5
"('NET', 'necrosis epidérmica tóxica')",NET,necrosis epidérmica tóxica,2
"('FLPNS', 'fisura labiopalatina no sindrómica')",FLPNS,fisura labiopalatina no sindrómica,1
"('MTs', 'matricestisulares')",MTs,matricestisulares,2
"('TSFR', 'terapias sustitutivas de la función renal')",TSFR,terapias sustitutivas de la función renal,4
"('HICORIN®', 'higiene corporal infantil')",HICORIN®,higiene corporal infantil,1
"('PCRus', 'proteína c reactiva ultrasensible')",PCRus,proteína c reactiva ultrasensible,4
"('RMC', 'resonancia magnética cardiovascular')",RMC,resonancia magnética cardiovascular,3
"('RG', 'respuesta glicémica')",RG,respuesta glicémica,2
"('NOX', 'nadph oxidasa')",NOX,nadph oxidasa,3
"('HGC', 'hibridación genómica comparada')",HGC,hibridación genómica comparada,4
"('AyR', 'anestesiología y reanimación')",AyR,anestesiología y reanimación,1
"('CS', 'centros de salud')",CS,centros de salud,3
"('FAP', 'fuga aérea persistente')",FAP,fuga aérea persistente,2
"('PNS', 'plan nacional sobre el sida')",PNS,plan nacional sobre el sida,1
"('EAP', 'espondiloartropatias')",EAP,espondiloartropatias,3
"('URANO', 'uso racional de los antibióticos orales')",URANO,uso racional de los antibióticos orales,1
"('Zn', 'zinc')",Zn,zinc,2
"('AM', 'alteraciones metabólicas')",AM,alteraciones metabólicas,2
"('IDL', 'infusion duodenal continua de levodopa/carbidopa')",IDL,infusion duodenal continua de levodopa/carbidopa,2
"('ASPB', 'agencia de salud pública de barcelona')",ASPB,agencia de salud pública de barcelona,2
"('VIH-1', 'virus de la inmunodeficiencia humana tipo 1')",VIH-1,virus de la inmunodeficiencia humana tipo 1,16
"('IPK', 'instituto de medicina tropical ""pedro kourí""')",IPK,"instituto de medicina tropical ""pedro kourí""",1
"('SOAT', 'seguro obligatorio contra accidentes de tránsito')",SOAT,seguro obligatorio contra accidentes de tránsito,2
"('CB', 'circunferencia del brazo')",CB,circunferencia del brazo,8
"('ECI-4', 'early childhood inventory-4')",ECI-4,early childhood inventory-4,4
"('AIC', ""akaike's information criterion"")",AIC,akaike's information criterion,2
"('EM', 'esclerosis múltiple')",EM,esclerosis múltiple,7
"('DMA', 'dimetilarsínico')",DMA,dimetilarsínico,2
"('DVA', 'de voluntades anticipadas')",DVA,de voluntades anticipadas,3
"('ERC', 'enfermedades respiratorias crónicas')",ERC,enfermedades respiratorias crónicas,4
"('NNN', 'neumocócica necrosante')",NNN,neumocócica necrosante,1
"('RDoC', 'research domain criteria')",RDoC,research domain criteria,5
"('LD', 'líquido de diálisis')",LD,líquido de diálisis,9
"('PEPSI', 'programa de investigaciones en epidemiología psiquiátrica')",PEPSI,programa de investigaciones en epidemiología psiquiátrica,3
"('PVA', 'programa de vacunación de andalucía')",PVA,programa de vacunación de andalucía,5
"('MNIO', 'monitorizacion neurofisiologica intraoperatoria')",MNIO,monitorizacion neurofisiologica intraoperatoria,2
"('TAB', 'trastorno afectivo bipolar')",TAB,trastorno afectivo bipolar,1
"('SOM', 'sistema oculomotor')",SOM,sistema oculomotor,2
"('LJ', 'lowenstein-jensen')",LJ,lowenstein-jensen,3
"('EC-PC', 'escala de convivencia con un proceso cronico')",EC-PC,escala de convivencia con un proceso cronico,3
"('I.E.I.', 'informe de enfermería al ingreso')",I.E.I.,informe de enfermería al ingreso,2
"('NNIS', 'nosocomial infection surveillance')",NNIS,nosocomial infection surveillance,4
"('Grupo ED', 'grupos: con endoscopía-dilatación')",Grupo ED,grupos: con endoscopía-dilatación,1
"('HDC', 'hernias diafragmáticas congénitas')",HDC,hernias diafragmáticas congénitas,1
"('UMF', 'unidades de medicina familiar')",UMF,unidades de medicina familiar,2
"('FANs', 'florecimiento de algas nocivas')",FANs,florecimiento de algas nocivas,2
"('LCR', 'líquido cefalorraquídeo')",LCR,líquido cefalorraquídeo,8
"('DIGS', 'diagnóstica para estudios genéticos')",DIGS,diagnóstica para estudios genéticos,4
"('EE', 'estándar del estimador')",EE,estándar del estimador,1
"('PRESENCIAP', 'prevención secundaria de la cardiopatía isquémica en la atención primaria')",PRESENCIAP,prevención secundaria de la cardiopatía isquémica en la atención primaria,4
"('VFD', 'vídeo fluoroscopia de deglución')",VFD,vídeo fluoroscopia de deglución,2
"('EII', 'enfermedad inflamatoria intestinal')",EII,enfermedad inflamatoria intestinal,15
"('TUS', 'trastorno por uso de sustancias')",TUS,trastorno por uso de sustancias,3
"('PB', 'perímetro braquial')",PB,perímetro braquial,6
"('EEG', 'electroencefalografia')",EEG,electroencefalografia,3
"('REV-7d', 'revisita a urgencias por ica a 7 días')",REV-7d,revisita a urgencias por ica a 7 días,3
"('GesEPOC', 'guía española de la epoc')",GesEPOC,guía española de la epoc,9
"('FRV', 'factores de riesgo vascular')",FRV,factores de riesgo vascular,8
"('SIER-CV', 'sistema de información de enfermedades raras de la cv')",SIER-CV,sistema de información de enfermedades raras de la cv,4
"('RETOSS', 'reumatología y osteoporosis')",RETOSS,reumatología y osteoporosis,5
"('GATE', 'grupo de operaciones tácticas especiales')",GATE,grupo de operaciones tácticas especiales,2
"('SWH', 'sindrome de wolf-hirschhorn')",SWH,sindrome de wolf-hirschhorn,13
"('SIR', 'susceptible-infectado-recuperado')",SIR,susceptible-infectado-recuperado,6
"('PTI', 'púrpura trombocitopénica idiopática')",PTI,púrpura trombocitopénica idiopática,10
"('MCF', 'malformaciones creaneofaciales')",MCF,malformaciones creaneofaciales,6
"('SPPB', 'short physical performance battery')",SPPB,short physical performance battery,2
"('Me', 'medianas')",Me,medianas,3
"('HP', 'hemicranea paroxistica')",HP,hemicranea paroxistica,4
"('ARA-II', 'antagonistas de los receptores de la angiotensina ii')",ARA-II,antagonistas de los receptores de la angiotensina ii,7
"('CPE', 'colangiopancreatografía endoscópica')",CPE,colangiopancreatografía endoscópica,3
"('TRUS', 'transrectal guiada por ultrasonidos')",TRUS,transrectal guiada por ultrasonidos,6
"('OI', 'osteogénesis imperfecta')",OI,osteogénesis imperfecta,4
"('ISPLN', 'instituto de salud pública y laboral de navarra')",ISPLN,instituto de salud pública y laboral de navarra,6
"('A.G.A.', 'american gastroenterological association')",A.G.A.,american gastroenterological association,1
"('NE', 'norte de europa')",NE,norte de europa,3
"('FA', 'fosfatasa alcalina')",FA,fosfatasa alcalina,4
"('AMS', 'arteria mesentérica superior')",AMS,arteria mesentérica superior,9
"('CB', 'cirugía bariátrica')",CB,cirugía bariátrica,8
"('PTH', 'papillas tradicionales hondureñas')",PTH,papillas tradicionales hondureñas,2
"('POCS', 'punta-onda continua del sueño lento')",POCS,punta-onda continua del sueño lento,1
"('NAG', 'n-acetil-beta-d-glucosaminidasa')",NAG,n-acetil-beta-d-glucosaminidasa,7
"('LIO', 'lente intraocular')",LIO,lente intraocular,3
"('SERUMS', 'servicio rural y urbano-marginal en salud')",SERUMS,servicio rural y urbano-marginal en salud,2
"('HSJO', 'hospital sant jaume de olot')",HSJO,hospital sant jaume de olot,1
"('EEG', 'electroencefalografico')",EEG,electroencefalografico,2
"('SJ', 'squat jump')",SJ,squat jump,2
"('AA', 'acontecimientos adversos')",AA,acontecimientos adversos,3
"('C.R.', 'cirugía radical')",C.R.,cirugía radical,6
"('EPAE', 'escala de percepción de amenaza exogrupal')",EPAE,escala de percepción de amenaza exogrupal,1
"('TMI', 'transmisión materno-infantil')",TMI,transmisión materno-infantil,3
"('CE', 'cuerpo extraño')",CE,cuerpo extraño,1
"('UNP', 'unidades de nitrógeno proteico')",UNP,unidades de nitrógeno proteico,3
"('PAE', 'protocolo de evaluación de la adecuación')",PAE,protocolo de evaluación de la adecuación,2
"('BZD', 'benzodiacepinas')",BZD,benzodiacepinas,1
"('ABSST', 'actionable bladder symptoms screening tool')",ABSST,actionable bladder symptoms screening tool,6
"('PC', 'perímetro de cintura')",PC,perímetro de cintura,3
"('VHD', 'virus de la hepatitis delta')",VHD,virus de la hepatitis delta,2
"('DAU', 'desarterialización uterina')",DAU,desarterialización uterina,3
"('RM', 'resonancia magnética')",RM,resonancia magnética,8
"('Ca', 'calcio')",Ca,calcio,1
"('IAMCEST', 'infarto agudo de miocardio con elevación del segmento st')",IAMCEST,infarto agudo de miocardio con elevación del segmento st,5
"('PET/CT', 'positrones-tomografía computada')",PET/CT,positrones-tomografía computada,2
"('SEFH', 'sociedad espanola de farmacia hospitalaria')",SEFH,sociedad espanola de farmacia hospitalaria,3
"('ECG', 'escala del coma de glasgow')",ECG,escala del coma de glasgow,1
"('NP', 'nanopartículas')",NP,nanopartículas,2
"('EAD', 'enfermedad articular degenerativa')",EAD,enfermedad articular degenerativa,6
"('EUBE', 'escala unidimensional de burnout estudiantil')",EUBE,escala unidimensional de burnout estudiantil,3
"('OnabotA', 'onabotulinumtoxina a')",OnabotA,onabotulinumtoxina a,3
"('POP', 'prolapso de órganos pélvicos')",POP,prolapso de órganos pélvicos,5
"('SEYLE', 'saving and empowering young lives in europe')",SEYLE,saving and empowering young lives in europe,1
"('BRIEF', 'behavior rating inventory of executive function')",BRIEF,behavior rating inventory of executive function,4
"('MAT/SET', 'model andorrà de triatge/sistema español de triage')",MAT/SET,model andorrà de triatge/sistema español de triage,1
"('BXO', 'balanitis xerotica obliterans')",BXO,balanitis xerotica obliterans,1
"('c-LDL', 'colesterol ldl')",c-LDL,colesterol ldl,3
"('UNCyD-SEyN', 'unidad de nutrición clínica y dietética de la sección de endocrinología y nutrición')",UNCyD-SEyN,unidad de nutrición clínica y dietética de la sección de endocrinología y nutrición,2
"('SiDUP', 'sistema de detección por umbral de prevalencia')",SiDUP,sistema de detección por umbral de prevalencia,3
"('BPM', 'batería psicomotora')",BPM,batería psicomotora,3
"('ICA', 'insuficiencia cardiaca aguda')",ICA,insuficiencia cardiaca aguda,28
"('RP', 'razón de prevalencia')",RP,razón de prevalencia,2
"('FLAP', 'fisura labiopalatina')",FLAP,fisura labiopalatina,1
"('GEMA', 'guía española para el manejo del asma')",GEMA,guía española para el manejo del asma,9
"('EH', 'enfermedad de hirschsprung')",EH,enfermedad de hirschsprung,2
"('COCT', 'centellograma óseo corporal total')",COCT,centellograma óseo corporal total,4
"('ENS', 'encuesta nacional de salud')",ENS,encuesta nacional de salud,3
"('LMNT', 'linfadenitis por micobacterias no tuberculosas')",LMNT,linfadenitis por micobacterias no tuberculosas,1
"('AgsHB', 'antígeno de superficie del virus de la hepatitis tipo b')",AgsHB,antígeno de superficie del virus de la hepatitis tipo b,1
"('PE', 'preeclampsia')",PE,preeclampsia,9
"('IGVPH', 'infección genital por el virus del papiloma humano')",IGVPH,infección genital por el virus del papiloma humano,2
"('TGR', 'transfusión de glóbulos rojos')",TGR,transfusión de glóbulos rojos,3
"('DAFO', 'debilidades, amenazas, fortalezas y oportunidades')",DAFO,"debilidades, amenazas, fortalezas y oportunidades",1
"('E.T.', 'esclerosis tuberosa')",E.T.,esclerosis tuberosa,3
"('CAM', 'comunidad autónoma de madrid')",CAM,comunidad autónoma de madrid,7
"('ECLAMC', 'estudio colaborativo latinoamericano de malformaciones congénitas')",ECLAMC,estudio colaborativo latinoamericano de malformaciones congénitas,11
"('mapa', 'monitoreo ambulatorio de presión arterial')",mapa,monitoreo ambulatorio de presión arterial,3
"('ISUP', 'international society of urological pathology')",ISUP,international society of urological pathology,2
"('RM', 'razón de momios')",RM,razón de momios,37
"('SAHS', 'síndrome de apneas-hipoapneas del sueño')",SAHS,síndrome de apneas-hipoapneas del sueño,1
"('R CIU', 'retraso de crecimiento intrauterino')",R CIU,retraso de crecimiento intrauterino,2
"('VPI', 'volumen pulmonar ipsilateral')",VPI,volumen pulmonar ipsilateral,3
"('ILE', 'intervalo libre de eventos')",ILE,intervalo libre de eventos,2
"('AD', 'anemias dishemopoyéticas')",AD,anemias dishemopoyéticas,4
"('TCMC', 'tc multicorte')",TCMC,tc multicorte,5
"('PFT', 'pruebas de función tiroidea')",PFT,pruebas de función tiroidea,3
"('ESI', 'emergency severity index')",ESI,emergency severity index,1
"('HIS', 'hibridación in situ')",HIS,hibridación in situ,4
"('ESCA', 'encuesta de salud de cataluña')",ESCA,encuesta de salud de cataluña,2
"('EEII', 'extremidades inferiores')",EEII,extremidades inferiores,1
"('DFTvc', 'demencia frontotemporal variante conductual')",DFTvc,demencia frontotemporal variante conductual,2
"('CGI', 'complicaciones gastrointestinales')",CGI,complicaciones gastrointestinales,4
"('L/E', 'lecitina esfingomielina')",L/E,lecitina esfingomielina,2
"('MAPA', 'monitoreo ambulatorio de presión arterial de 24 horas')",MAPA,monitoreo ambulatorio de presión arterial de 24 horas,5
"('PDAs', 'personales digitales')",PDAs,personales digitales,1
"('EBA', 'espasticidad del brazo del adulto')",EBA,espasticidad del brazo del adulto,1
"('NPI', 'neuropsychiatric inventory')",NPI,neuropsychiatric inventory,3
"('EB', 'exceso de base')",EB,exceso de base,6
"('WOK', 'web of knowledge')",WOK,web of knowledge,3
"('FOP', 'foramen oval permeable')",FOP,foramen oval permeable,4
"('GFA', 'glotograma de flujo aéreo')",GFA,glotograma de flujo aéreo,5
"('CETON', 'cirugía endoscópica transluminal por orificios naturales')",CETON,cirugía endoscópica transluminal por orificios naturales,2
"('ENSM', 'encuesta nacional de salud mental')",ENSM,encuesta nacional de salud mental,4
"('E. P.', 'espleno-portografía')",E. P.,espleno-portografía,2
"('CD', 'cierre diferido')",CD,cierre diferido,2
"('UASLP', 'universidad autónoma de san luís potosí')",UASLP,universidad autónoma de san luís potosí,2
"('IV', 'investigación en cardiología clínica')",IV,investigación en cardiología clínica,2
"('APA', 'americana de psiquiatría')",APA,americana de psiquiatría,1
"('AST-M', 'area de seccion transversal del nervio mediano en la muñeca')",AST-M,area de seccion transversal del nervio mediano en la muñeca,11
"('PAIME', 'programa de atención integral al médico enfermo')",PAIME,programa de atención integral al médico enfermo,1
"('ICSI', 'intracitoplasmática de espermatozoides')",ICSI,intracitoplasmática de espermatozoides,3
"('Alb', 'albúmina plasmática')",Alb,albúmina plasmática,9
"('ADC', 'asociación para el desarrollo comunitario')",ADC,asociación para el desarrollo comunitario,1
"('I.C.S.S.', 'instituto colombiano de seguros sociales')",I.C.S.S.,instituto colombiano de seguros sociales,2
"('CFCGA', 'cuestionario de frecuencia de consumo de grupos de alimentos')",CFCGA,cuestionario de frecuencia de consumo de grupos de alimentos,1
"('GCS', 'glasgow coma scale')",GCS,glasgow coma scale,2
"('HUVN', 'hospital universitario virgen de las nieves')",HUVN,hospital universitario virgen de las nieves,3
"('MC', 'malformaciones congénitas')",MC,malformaciones congénitas,2
"('SECAC', 'sociedad española de cronobiología aplicada, cronoterapia y riesgo vascular')",SECAC,"sociedad española de cronobiología aplicada, cronoterapia y riesgo vascular",4
"('PROA', 'programas de optimización del uso de antimicrobianos')",PROA,programas de optimización del uso de antimicrobianos,1
"('SAF', 'síndrome antifosfolípido')",SAF,síndrome antifosfolípido,2
"('DAS28a', 'das28 al inicio')",DAS28a,das28 al inicio,3
"('ACH', 'anticonceptivos hormonales')",ACH,anticonceptivos hormonales,2
"('ICSH', 'internacional de estandarización en hematología')",ICSH,internacional de estandarización en hematología,6
"('tipo II', 'tratamiento de pacientes diabéticos no dependientes de la insulina')",tipo II,tratamiento de pacientes diabéticos no dependientes de la insulina,3
"('VFP', 'vacaciones de fiestas patrias')",VFP,vacaciones de fiestas patrias,3
"('SASM', 'staphylococcus aureus sensible a meticilina')",SASM,staphylococcus aureus sensible a meticilina,2
"('NADYA', 'nutrición artificial domiciliaria y ambulatoria')",NADYA,nutrición artificial domiciliaria y ambulatoria,7
"('SNPs', 'sugieren que los polimorfismos de nucleótido único')",SNPs,sugieren que los polimorfismos de nucleótido único,5
"('DSG', 'dieta sin gluten')",DSG,dieta sin gluten,1
"('DUL', 'duloxetina')",DUL,duloxetina,3
"('SAOS', 'síndrome de apnea obstructiva del sueño')",SAOS,síndrome de apnea obstructiva del sueño,11
"('CCi', 'circunferencia de cintura')",CCi,circunferencia de cintura,3
"('SLTA', 'síndrome de lisis tumoral aguda')",SLTA,síndrome de lisis tumoral aguda,2
"('PTI', 'púrpura trombocitopénico idiopático')",PTI,púrpura trombocitopénico idiopático,3
"('VIP', 'vattikuti institute prostatectomy')",VIP,vattikuti institute prostatectomy,5
"('FR', 'factor reumatoide')",FR,factor reumatoide,3
"('FAL', 'fosfatasa alcalina')",FAL,fosfatasa alcalina,3
"('FRA', 'fracaso renal agudo')",FRA,fracaso renal agudo,7
"('I.C.V.', 'irrigación contínua vesical')",I.C.V.,irrigación contínua vesical,3
"('CORA', 'centro de rotación de la deformidad')",CORA,centro de rotación de la deformidad,3
"('CQC', 'comunidades que se cuidan')",CQC,comunidades que se cuidan,1
"('DERA', 'desajuste emocional y recursos adaptativos en infertilidad')",DERA,desajuste emocional y recursos adaptativos en infertilidad,4
