pair,acronym,description
"('GlicA', 'glicemias capilares de ayuno')",GlicA,glicemias capilares de ayuno
"('ELCP', 'enfermedad de legg-calvé-perthes')",ELCP,enfermedad de legg-calvé-perthes
"('LME', 'lactancia materna exclusiva')",LME,lactancia materna exclusiva
"('AS', 'admisión secundaria')",AS,admisión secundaria
"('S.P.O.D.', 'sindrome periodontal orientador de diabétes')",S.P.O.D.,sindrome periodontal orientador de diabétes
"('CPN', 'control prenatal')",CPN,control prenatal
"('MLC', 'mixto de linfocitos')",MLC,mixto de linfocitos
"('UPA', 'unidad ponderada asistencial')",UPA,unidad ponderada asistencial
"('S.D.R.I.', 'síndrome de dificultad respiratoria idiopática')",S.D.R.I.,síndrome de dificultad respiratoria idiopática
"('HECMNSXXI', 'hospital de especialidades del centro médico nacional siglo xxi')",HECMNSXXI,hospital de especialidades del centro médico nacional siglo xxi
"('HPB', 'hiperplasia prostática benigna')",HPB,hiperplasia prostática benigna
"('H.I.', 'hipercalciuria idiopática')",H.I.,hipercalciuria idiopática
"('GPG', 'ganancia de peso gestacional')",GPG,ganancia de peso gestacional
"('NAC', 'neuropatía autonómica cardíaca')",NAC,neuropatía autonómica cardíaca
"('MN', 'meningitis neonatal')",MN,meningitis neonatal
"('PTI', 'púrpura trombocitopénica idiopática')",PTI,púrpura trombocitopénica idiopática
"('TE', 'tratamiento estandar')",TE,tratamiento estandar
"('SEMP', 'superficies especiales para el manejo de la presión')",SEMP,superficies especiales para el manejo de la presión
"('BP', 'bajo peso')",BP,bajo peso
"('QT', 'quimioterapia')",QT,quimioterapia
"('AC', 'anticuerpos')",AC,anticuerpos
"('CAMCOG-DS', ""cambridge cognitive examination for older adults with down's syndrome"")",CAMCOG-DS,cambridge cognitive examination for older adults with down's syndrome
"('CrS', 'creatinina sérica')",CrS,creatinina sérica
"('UCIP', 'unidades de cuidados intensivos pediatricos')",UCIP,unidades de cuidados intensivos pediatricos
"('CMV', 'citomegalovirus')",CMV,citomegalovirus
"('RAF', 'rinosinusitis alérgica fúngica')",RAF,rinosinusitis alérgica fúngica
"('CEIC', 'comité ético de investigación clínica')",CEIC,comité ético de investigación clínica
"('SEMP', 'superficie especial del manejo de la presión')",SEMP,superficie especial del manejo de la presión
"('PRISMA-P', 'preferred reporting items for systematic reviews and meta-analyses protocols')",PRISMA-P,preferred reporting items for systematic reviews and meta-analyses protocols
"('RMM', 'razón de mortalidad materna')",RMM,razón de mortalidad materna
"('CID', 'coagulación intravascular diseminada')",CID,coagulación intravascular diseminada
"('MRT', 'mortalidad relacionada con el trasplante')",MRT,mortalidad relacionada con el trasplante
"('MLQ', 'multifactor leadership questionnaire')",MLQ,multifactor leadership questionnaire
"('E12', 'españa 0012')",E12,españa 0012
"('ICCQ', 'indice de clasificación de complejidad quirúrgica')",ICCQ,indice de clasificación de complejidad quirúrgica
"('AMEU', 'aspiración manual endouterina con jeringa de karmann')",AMEU,aspiración manual endouterina con jeringa de karmann
"('CS', 'ciencias de la salud')",CS,ciencias de la salud
"('SON', 'suplementos orales nutricionales')",SON,suplementos orales nutricionales
"('EPG', 'enfermedad periodontal grave')",EPG,enfermedad periodontal grave
"('CC', 'circunferencia de cintura')",CC,circunferencia de cintura
"('SOCALPAR', 'sociedad castellano-leonesa y cántabra de patología respiratoria')",SOCALPAR,sociedad castellano-leonesa y cántabra de patología respiratoria
"('DEH', 'de estancia hospitalaria')",DEH,de estancia hospitalaria
"(""DIU's"", 'dispositivos intrauterinos')",DIU's,dispositivos intrauterinos
"('y II', 'y entrevista clínica')",y II,y entrevista clínica
"('CPCs', 'células prostáticascirculantes primarias')",CPCs,células prostáticascirculantes primarias
"('AS', 'años de edad beneficiarios')",AS,años de edad beneficiarios
"('LJ', 'lowenstein-jensen')",LJ,lowenstein-jensen
"('FG', 'filtración glomerular')",FG,filtración glomerular
"('HY', 'hoehn y yahr')",HY,hoehn y yahr
"('LAM', 'leucemia aguda mieloide')",LAM,leucemia aguda mieloide
"('MI', 'micosis invasivas')",MI,micosis invasivas
"('EPI', 'equipos de protección individual')",EPI,equipos de protección individual
"('PRM', 'problemas relacionados con la medicación')",PRM,problemas relacionados con la medicación
"('VMNI', 'ventilación mecánica no invasiva')",VMNI,ventilación mecánica no invasiva
"('MU', 'médicos de urgencias')",MU,médicos de urgencias
"('CHB', 'comités hospitalarios de bioética')",CHB,comités hospitalarios de bioética
"('RM', 'razones de momios')",RM,razones de momios
"('REGESMOHS', 'registro español de cirugía de mohs')",REGESMOHS,registro español de cirugía de mohs
"('IOP', 'instituto de orientación profesional de barcelona')",IOP,instituto de orientación profesional de barcelona
"('ERC', 'enfermedad renal cronica')",ERC,enfermedad renal cronica
"('SS', 'síndrome de sjögren')",SS,síndrome de sjögren
"('DNN', 'de la nutrición')",DNN,de la nutrición
"('ITU', 'infección del tracto urinario')",ITU,infección del tracto urinario
"('NH', 'neoplasias hematológicas')",NH,neoplasias hematológicas
"('HTP', 'hipertensión pulmonar')",HTP,hipertensión pulmonar
"('SJ', 'squat jump')",SJ,squat jump
"('AVAC', 'años de vida ajustados por calidad')",AVAC,años de vida ajustados por calidad
"('GV', 'gastrectomía vertical')",GV,gastrectomía vertical
"('ASA', 'american society of anesthesiologists')",ASA,american society of anesthesiologists
"('AEMPS', 'agencia espa&ntilde;ola de medicamentos y productos sanitarios')",AEMPS,agencia espa&ntilde;ola de medicamentos y productos sanitarios
"('DG', 'de género')",DG,de género
"('O/SP', 'obesidad y el sobrepeso')",O/SP,obesidad y el sobrepeso
"('CA', 'comportamiento alimentario')",CA,comportamiento alimentario
"('EPI', 'enteropatógeno infantil')",EPI,enteropatógeno infantil
"('Pisces', 'proporción de sexos del dorado coryphaena hippurus')",Pisces,proporción de sexos del dorado coryphaena hippurus
"('CGD', 'colecistogammagrafía dinámica')",CGD,colecistogammagrafía dinámica
"('HVB', 'hepatitis vírica tipo b')",HVB,hepatitis vírica tipo b
"('IgIV', 'inmunoglobulina, con mayor frecuencia intravenosa')",IgIV,"inmunoglobulina, con mayor frecuencia intravenosa"
"('BT', 'bilirrubina total')",BT,bilirrubina total
"('TRR', 'terapia de reemplazo renal')",TRR,terapia de reemplazo renal
"('EIC', 'ecocardiografía intracardíaca')",EIC,ecocardiografía intracardíaca
"('RISC II', 'revised injury severity classification score ii')",RISC II,revised injury severity classification score ii
"('CC', 'cardíacas')",CC,cardíacas
"('RHR', 'respuesta immune de hipersensibilidad retardada')",RHR,respuesta immune de hipersensibilidad retardada
"('PIO', 'presión intraocular')",PIO,presión intraocular
"('HaD', 'hospitalización a\xa0domicilio')",HaD,hospitalización a domicilio
"('TDP', 'test digital de percepción')",TDP,test digital de percepción
"('ABQ', 'ahtlete burnout questionnaire')",ABQ,ahtlete burnout questionnaire
"('TDI', 'trastornos del desarrollo intelectual')",TDI,trastornos del desarrollo intelectual
"('EQ-5D', 'european quality of life-5 dimensions')",EQ-5D,european quality of life-5 dimensions
"('TCC', 'tumores del cuerpo carotídeo')",TCC,tumores del cuerpo carotídeo
"('RI', 'resistencia insulínica')",RI,resistencia insulínica
"('RCP', 'reanimación cardiopulmonar pediátrica')",RCP,reanimación cardiopulmonar pediátrica
"('Ag-VIH', 'antígeno(s) del virus de la inmunodeficiencia humana')",Ag-VIH,antígeno(s) del virus de la inmunodeficiencia humana
"('CIH', 'coherencia interhemisferica')",CIH,coherencia interhemisferica
"('AT', 'accidentes de trabajo')",AT,accidentes de trabajo
"('D.A.T.C.', 'diisolamiloxitocarbanilida')",D.A.T.C.,diisolamiloxitocarbanilida
"('EEI', 'esofágico inferior')",EEI,esofágico inferior
"('EHNA', 'esteatohepatitis no alcohólica')",EHNA,esteatohepatitis no alcohólica
"('HUC', 'hospital universitario de caracas')",HUC,hospital universitario de caracas
"('GEDEAS', 'grupo español de dermatología en las enfermedades autoinmunes y sistémicas')",GEDEAS,grupo español de dermatología en las enfermedades autoinmunes y sistémicas
"('SIADH', 'secrecion inadecuada de adh')",SIADH,secrecion inadecuada de adh
"('RNT', 'recién nacidos a término')",RNT,recién nacidos a término
"('RM', 'resonancia magnética fetal')",RM,resonancia magnética fetal
"('PCAV', 'prueba de actitudes y conocimientos sobre la vejez')",PCAV,prueba de actitudes y conocimientos sobre la vejez
"('ECPP', 'estudio chileno de prevalencia de patología psiquiátrica (dsm-iii-r/cidi)')",ECPP,estudio chileno de prevalencia de patología psiquiátrica (dsm-iii-r/cidi)
"('LLA', 'linfoblástica aguda')",LLA,linfoblástica aguda
"('HADS', 'hospitalaria de ansiedad y depresion')",HADS,hospitalaria de ansiedad y depresion
"('II', 'inferior')",II,inferior
"('TT', 'total')",TT,total
"('VHD', 'virus de la hepatitis delta')",VHD,virus de la hepatitis delta
"('y II', 'y nuevas indicaciones')",y II,y nuevas indicaciones
"('MT', 'megacolon tóxico')",MT,megacolon tóxico
"('T.E.C.', 'traumatismo encéfano craneano')",T.E.C.,traumatismo encéfano craneano
"('NED', 'nutrición enteral domiciliaria')",NED,nutrición enteral domiciliaria
"('B/N', 'buprenorfina/naloxona (suboxone®)')",B/N,buprenorfina/naloxona (suboxone®)
"('EA', 'estudios aleatorizados')",EA,estudios aleatorizados
"('EAEAE', 'escala de autoeficacia para el afrontamiento del estrés')",EAEAE,escala de autoeficacia para el afrontamiento del estrés
"('CB', 'circunferencia del brazo')",CB,circunferencia del brazo
"('HNHU', 'hospital nacional hipolito unanue')",HNHU,hospital nacional hipolito unanue
"('MALT', 'münchner alkoholismus test')",MALT,münchner alkoholismus test
"('CVRS', 'calidad de vida relacionada a la salud')",CVRS,calidad de vida relacionada a la salud
"('UASLP', 'universidad autónoma de san luís potosí')",UASLP,universidad autónoma de san luís potosí
"('RC', 'retardo del crecimiento')",RC,retardo del crecimiento
"('E. P.', 'espleno-portografía')",E. P.,espleno-portografía
"('C.C.', 'cirugía conservadora')",C.C.,cirugía conservadora
"('A.H.F.', 'anemia hipocroma ferropriva')",A.H.F.,anemia hipocroma ferropriva
"('UC', 'unidades de críticos')",UC,unidades de críticos
"('rango', 'recambios de generador. seguimiento medio de 8,4 años')",rango,"recambios de generador. seguimiento medio de 8,4 años"
"('MT', 'medicamentos termolábiles')",MT,medicamentos termolábiles
"('A.G.A.', 'american gastroenterological association')",A.G.A.,american gastroenterological association
"('BGN', 'bacilos gram-negativos')",BGN,bacilos gram-negativos
"('CG', 'carga glicémica')",CG,carga glicémica
"('D. P.', 'dialisis peritoneal')",D. P.,dialisis peritoneal
"('DM', 'dismorfia muscular')",DM,dismorfia muscular
"('TQE', 'tiempos quirúrgicos estándar')",TQE,tiempos quirúrgicos estándar
"('IL-2r', 'interleucina-2r')",IL-2r,interleucina-2r
"('TARMA', 'terapia antirretroviral muy activa')",TARMA,terapia antirretroviral muy activa
"('CIMEC-V', 'cuestionario de infl uencias del modelo estético corporal, versión para varones')",CIMEC-V,"cuestionario de infl uencias del modelo estético corporal, versión para varones"
"('TMI', 'tasas de mortalidad infantil')",TMI,tasas de mortalidad infantil
"('DF', 'disfonía funcional')",DF,disfonía funcional
"('miARN', 'microarn')",miARN,microarn
"('SIOP', 'sociedad internacional de oncología pediátrica')",SIOP,sociedad internacional de oncología pediátrica
"('ASIA', 'americana de lesion de la medula espinal')",ASIA,americana de lesion de la medula espinal
"('VPPB', 'vertigo posicional paroxistico benigno')",VPPB,vertigo posicional paroxistico benigno
"('Ca', 'calcio')",Ca,calcio
"('TAB', 'trastorno afectivo bipolar')",TAB,trastorno afectivo bipolar
"('TC', 'tiempo de corrección')",TC,tiempo de corrección
"('LNH', 'linfomas no hodgkin')",LNH,linfomas no hodgkin
"('DM1', 'diabetes mellitus tipo 1')",DM1,diabetes mellitus tipo 1
"('HG', 'hospital garrahan')",HG,hospital garrahan
"('UMAE', 'unidad médica de alta especialidad')",UMAE,unidad médica de alta especialidad
"('LCD', 'leucemia en células del donador')",LCD,leucemia en células del donador
"('SG', 'sobrevida global')",SG,sobrevida global
"('MEN 1', 'múltiple tipo 1')",MEN 1,múltiple tipo 1
"('ACV', 'accidente cerebrovascular')",ACV,accidente cerebrovascular
"('SENC', 'sociedad española de nutrición comunitaria')",SENC,sociedad española de nutrición comunitaria
"('ADE', 'ancho de distribución eritrocitario')",ADE,ancho de distribución eritrocitario
"('SM', 'salud mental')",SM,salud mental
"('HIT-6', 'headache impact test-6')",HIT-6,headache impact test-6
"('VMA', 'vinilmandélico')",VMA,vinilmandélico
"('ECA', 'enterobacterias')",ECA,enterobacterias
"('SUDEP', 'subita asociada a la epilepsia')",SUDEP,subita asociada a la epilepsia
"('PEFEX', 'para la evaluación de la fibrinólisis extrahospitalaria')",PEFEX,para la evaluación de la fibrinólisis extrahospitalaria
"('BS', 'banda sagital')",BS,banda sagital
"('EP', 'enfermedad de parkinson')",EP,enfermedad de parkinson
"('AE', 'atención emocional')",AE,atención emocional
"('PICI', 'plan integral de cardiopatía isquémica')",PICI,plan integral de cardiopatía isquémica
"('Hp', 'helicobacter pylori')",Hp,helicobacter pylori
"('ADHD-RS', 'adhd rating scale')",ADHD-RS,adhd rating scale
"('CF', 'componente físico')",CF,componente físico
"('PAAF', 'punción aspiración con aguja fina')",PAAF,punción aspiración con aguja fina
"('SEM', 'sistema d’emergències mèdiques')",SEM,sistema d’emergències mèdiques
"('OP', 'osteoporosis')",OP,osteoporosis
"('D.C.R.', 'dacriocistorrinostomía')",D.C.R.,dacriocistorrinostomía
"('EK', 'enfermedad de kawasaki')",EK,enfermedad de kawasaki
"('ACE', 'análisis de coste-efectividad')",ACE,análisis de coste-efectividad
"('SIDA', 'síndrome de inmuno-deficiencia adquirida')",SIDA,síndrome de inmuno-deficiencia adquirida
"('TA', 'tabaquismo activo')",TA,tabaquismo activo
"('GEHPY', 'grupo de estudio del helicobacter pylori')",GEHPY,grupo de estudio del helicobacter pylori
"('EAD', 'enfermedad articular degenerativa')",EAD,enfermedad articular degenerativa
"('ACGs', 'ambulatory care groups""')",ACGs,"ambulatory care groups"""
"('WPW', 'wolff parkinson white')",WPW,wolff parkinson white
"('CI', 'cociente intelectual')",CI,cociente intelectual
"('TS', 'trabajadoras sexuales')",TS,trabajadoras sexuales
"('SDRA', 'síndrome de distrés respiratorio del adulto')",SDRA,síndrome de distrés respiratorio del adulto
"('RNM', 'resultados negativos asociados con la medicación')",RNM,resultados negativos asociados con la medicación
"('HOMI', 'hospital de la misericordia')",HOMI,hospital de la misericordia
"('CMB', 'circunferencia media de brazo')",CMB,circunferencia media de brazo
"('GCAO', 'grupo cooperativo argentino de oncourología')",GCAO,grupo cooperativo argentino de oncourología
"('EVA', 'escala visual analógica')",EVA,escala visual analógica
"('CP', 'cáncer de próstata')",CP,cáncer de próstata
"('INR', 'instituto nacional de rehabilitación')",INR,instituto nacional de rehabilitación
"('THC', 'tetrahidrocannabinol')",THC,tetrahidrocannabinol
"('Ensanut MC', 'encuesta nacional de salud y nutrición medio camino')",Ensanut MC,encuesta nacional de salud y nutrición medio camino
"('eTFG', 'estimación de la tasa de filtración glomerular')",eTFG,estimación de la tasa de filtración glomerular
"('EDL', 'extensor digitorum longus')",EDL,extensor digitorum longus
"('SEIMC', 'sociedad española de enfermedades infecciosas y microbiología clínica')",SEIMC,sociedad española de enfermedades infecciosas y microbiología clínica
"('LSSC', 'laringectomía subtotal supracricoidea')",LSSC,laringectomía subtotal supracricoidea
"('RCUI', 'relación coste-utilidad')",RCUI,relación coste-utilidad
"('CPRC', 'cáncer de próstata resistente a la castracion')",CPRC,cáncer de próstata resistente a la castracion
"('CT', 'colesterol total')",CT,colesterol total
"('SERVEI', 'sociedad española de radiología vascular e intervencionista')",SERVEI,sociedad española de radiología vascular e intervencionista
"('SNC', 'sistema nervioso central')",SNC,sistema nervioso central
"('IDP', 'inmunodeficiencias primarias')",IDP,inmunodeficiencias primarias
"('CCR', 'cáncer colorrectal')",CCR,cáncer colorrectal
"('TC', 'trasplante cardíaco')",TC,trasplante cardíaco
"('UTN', 'universidad tecnológica nacional')",UTN,universidad tecnológica nacional
"('EEB', 'espongiformes bovinas')",EEB,espongiformes bovinas
"('EE', 'esfinterotomía endoscópica')",EE,esfinterotomía endoscópica
"('CENATMER', 'centro nacional de trasplantes y medicina regenerativa')",CENATMER,centro nacional de trasplantes y medicina regenerativa
"('EAT-40', 'eating attitudes test-40')",EAT-40,eating attitudes test-40
"('CU', 'colitis ulcerativa')",CU,colitis ulcerativa
"('PPI', 'prescripciones potencialmente inadecuadas')",PPI,prescripciones potencialmente inadecuadas
"('HLAV', 'histerectomía laparoscópica asistida vaginalmente')",HLAV,histerectomía laparoscópica asistida vaginalmente
"('CV', 'calidad de vida')",CV,calidad de vida
"('SD', 'síndrome de down')",SD,síndrome de down
"('CT', 'computarizada')",CT,computarizada
"('AT', 'artritis temprana')",AT,artritis temprana
"('EHGNA', 'enfermedad de higado graso no alcohólico')",EHGNA,enfermedad de higado graso no alcohólico
"('ST', 'supratentoriales')",ST,supratentoriales
"('SOL', 'sueño de ondas lentas')",SOL,sueño de ondas lentas
"('AP', 'atencion primaria')",AP,atencion primaria
"('MMSE', 'mini mental status examination')",MMSE,mini mental status examination
"('IVE', 'interrupción voluntaria del embarazo')",IVE,interrupción voluntaria del embarazo
"('TW', 'tumor de wilms')",TW,tumor de wilms
"('LDL', 'ligado a lipoproteínas de baja densidad')",LDL,ligado a lipoproteínas de baja densidad
"('GGT', 'gama glutamil transferasa')",GGT,gama glutamil transferasa
"('SELDI', 'surface enhanced laser desorption/ionization')",SELDI,surface enhanced laser desorption/ionization
"('AST', 'abordaje del seno del tarso')",AST,abordaje del seno del tarso
"('II', 'intestinal')",II,intestinal
"('VPN', 'valor predictivo negativo')",VPN,valor predictivo negativo
"('ET', 'entidades territoriales')",ET,entidades territoriales
"('HAP', 'hipertensión arterial pulmonar')",HAP,hipertensión arterial pulmonar
"('MEC', 'medidas cognitivas')",MEC,medidas cognitivas
"('CCP', 'cuidado centrado en las personas')",CCP,cuidado centrado en las personas
"('ETEC', 'enterotoxigénica')",ETEC,enterotoxigénica
"('ZNO', 'zona noroeste')",ZNO,zona noroeste
"('NCC', 'neurocisticercosis')",NCC,neurocisticercosis
"('UIECP', 'union internacional para el estudio cientifico de la poblacion')",UIECP,union internacional para el estudio cientifico de la poblacion
"('OI', 'osteogénesis imperfecta')",OI,osteogénesis imperfecta
"('MT', 'microlitiasis testicular')",MT,microlitiasis testicular
"('NLP-CR', 'nefrolitectomía percutánea de calibre reducido')",NLP-CR,nefrolitectomía percutánea de calibre reducido
"('PCHP', 'pro children project')",PCHP,pro children project
"('EA', 'efectos adversos')",EA,efectos adversos
"('ECO', 'enfermedades constitucionales óseas')",ECO,enfermedades constitucionales óseas
"('H.A.C.R.E.', 'hidro-arsenicismo cronico regional endemico')",H.A.C.R.E.,hidro-arsenicismo cronico regional endemico
"('LAM', 'leucemia aguda mieloblástica')",LAM,leucemia aguda mieloblástica
"('SENFC', 'sociedad española de neurofisiologia clinica')",SENFC,sociedad española de neurofisiologia clinica
"('ENT', 'enfermedades no transmisibles')",ENT,enfermedades no transmisibles
"('DCTC', 'duplex color transcraneal')",DCTC,duplex color transcraneal
"('AAS', 'a ácido acetilsalicílico')",AAS,a ácido acetilsalicílico
"('ENNyS', 'encuesta nacional de nutrición y salud')",ENNyS,encuesta nacional de nutrición y salud
"('CS', 'coeficiente de spearman')",CS,coeficiente de spearman
"('CapPsi', 'capital psicológico')",CapPsi,capital psicológico
"('TDAH', 'trastorno por déficit de atención con hiperactividad')",TDAH,trastorno por déficit de atención con hiperactividad
"('UCI', 'unidades de cuidados intensivos')",UCI,unidades de cuidados intensivos
"('ACE-R', ""addenbrooke's cognitive examination-revised"")",ACE-R,addenbrooke's cognitive examination-revised
"('EICIG', 'enfermedad inflamatoria crónica del intestino grueso')",EICIG,enfermedad inflamatoria crónica del intestino grueso
"('H-LDL', 'hipercolesterolemia-ldl')",H-LDL,hipercolesterolemia-ldl
"('VG', 'vaciamiento gástrico')",VG,vaciamiento gástrico
"('ATSA', 'a la tsa')",ATSA,a la tsa
"('PDSQ', 'psychiatric diagnostic screening questionnaire')",PDSQ,psychiatric diagnostic screening questionnaire
"('UMF 171', 'unidad de medicina familiar 171')",UMF 171,unidad de medicina familiar 171
"('TCSS', 'toronto clinical scoring system')",TCSS,toronto clinical scoring system
"('L+', 'la pared vesical')",L+,la pared vesical
"('ST', 'salvado de trigo')",ST,salvado de trigo
"('BPYR', 'by-pass gástrico en y de roux')",BPYR,by-pass gástrico en y de roux
"('EC-PC', 'escala de convivencia con un proceso cronico')",EC-PC,escala de convivencia con un proceso cronico
"('SOP', 'síndrome de ovarios poliquísticos')",SOP,síndrome de ovarios poliquísticos
"('RedMIVA', 'red de vigilancia microbiológica de la comunidad valenciana')",RedMIVA,red de vigilancia microbiológica de la comunidad valenciana
"('GEITDAH', 'grupo de especial interes en el trastorno por deficit de atencion/hiperactividad')",GEITDAH,grupo de especial interes en el trastorno por deficit de atencion/hiperactividad
"('HPAF', 'heridas por arma de fuego')",HPAF,heridas por arma de fuego
"('OCic', 'osteocalcina infracarboxilada')",OCic,osteocalcina infracarboxilada
"('RMS', 'rabdomiosarcoma')",RMS,rabdomiosarcoma
"('SEEN', 'sociedad española de endocrinología y nutrición')",SEEN,sociedad española de endocrinología y nutrición
"('PTA', 'purpura trombocitopénica autoinmune')",PTA,purpura trombocitopénica autoinmune
"('CETON', 'cirugía endoscópica transluminal por orificios naturales')",CETON,cirugía endoscópica transluminal por orificios naturales
"('NAA', 'n-acetilaspartato')",NAA,n-acetilaspartato
"('IAC', 'infecciones asociadas a catéteres')",IAC,infecciones asociadas a catéteres
"('MNT', 'micobacterias no tuberculosas')",MNT,micobacterias no tuberculosas
"('DFTvc', 'demencia frontotemporal variante conductual')",DFTvc,demencia frontotemporal variante conductual
"('DSA', 'de sexismo en adolescentes')",DSA,de sexismo en adolescentes
"('CBM', 'cuadro básico de medicamentos')",CBM,cuadro básico de medicamentos
"('Fontana', 'forma de ‘‘y’’ usando sutura mecánica no reabsorbible')",Fontana,forma de ‘‘y’’ usando sutura mecánica no reabsorbible
"('pH1N1', 'por virus influenza a h1n1')",pH1N1,por virus influenza a h1n1
"('AA', 'avanzados')",AA,avanzados
"('CSP', 'cultura de seguridad del paciente')",CSP,cultura de seguridad del paciente
"('ESCA', 'encuesta de salud de cataluña')",ESCA,encuesta de salud de cataluña
"('ECP', 'estimulacion cerebral profunda')",ECP,estimulacion cerebral profunda
"('HICI', 'hipertension intracraneal idiopatica')",HICI,hipertension intracraneal idiopatica
"('APC', 'anticuerpos monoclonales para cd38 (pecyc5), cd138')",APC,"anticuerpos monoclonales para cd38 (pecyc5), cd138"
"('BLEE', 'betalactamasa de espectro extendido')",BLEE,betalactamasa de espectro extendido
"('DM', 'diabetes mellitus')",DM,diabetes mellitus
"('NPI-NH', 'neuropsychiatric inventory-nursing home version')",NPI-NH,neuropsychiatric inventory-nursing home version
"('GMP', 'glomerulonefritis membrano proliferativa')",GMP,glomerulonefritis membrano proliferativa
"('UE', 'unión europea')",UE,unión europea
"('PVA', 'programa de vacunación de andalucía')",PVA,programa de vacunación de andalucía
"('RMP', 'relajación muscular progresiva')",RMP,relajación muscular progresiva
"('CGEO', 'celulas de la glia envolvente olfatoria')",CGEO,celulas de la glia envolvente olfatoria
"('G.T.', 'gastrectomías totales')",G.T.,gastrectomías totales
"('NLP', 'nefrolitectomía percutánea')",NLP,nefrolitectomía percutánea
"('MCP-1', 'monocitos-1')",MCP-1,monocitos-1
"('MTHFR', 'metilentetrahidrofolatorreductasa')",MTHFR,metilentetrahidrofolatorreductasa
"('CAR', 'consulta de alta resolución')",CAR,consulta de alta resolución
"('CV', 'coeficiente de variación')",CV,coeficiente de variación
"('SGC', 'sistemas de gestión de calidad')",SGC,sistemas de gestión de calidad
"('DM-1', 'distrofia miotonica tipo 1')",DM-1,distrofia miotonica tipo 1
"('SD', 'sindrome de dravet')",SD,sindrome de dravet
"('RPa', 'razones de prevalencia ajustadas')",RPa,razones de prevalencia ajustadas
"('LMC', 'leucemia mieloide cr&oacute;nica')",LMC,leucemia mieloide cr&oacute;nica
"('TDEH', 'tiempo de estancia hospitalaria')",TDEH,tiempo de estancia hospitalaria
"('HR', 'hazard ratio')",HR,hazard ratio
"('AE', 'actividad de la enfermedad')",AE,actividad de la enfermedad
"('pre-', 'posintervención')",pre-,posintervención
"('PAOP', 'productos avanzados de oxidación proteica')",PAOP,productos avanzados de oxidación proteica
"('Nematoda', 'nematodo parásito romanomermis iyengari')",Nematoda,nematodo parásito romanomermis iyengari
"('DCL', 'deterioro cognitivo leve')",DCL,deterioro cognitivo leve
"('UID', 'urografía isotópico diurética')",UID,urografía isotópico diurética
"('SAHS', 'síndrome apnea-hipopnea del sueño')",SAHS,síndrome apnea-hipopnea del sueño
"('SSp', 'síndrome de sjögren primario')",SSp,síndrome de sjögren primario
"('DB', 'de basófilos')",DB,de basófilos
"('E.P.R.', 'esofagitis por reflujo')",E.P.R.,esofagitis por reflujo
"('POSIT', 'problem oriented screening instrument for teenagers')",POSIT,problem oriented screening instrument for teenagers
"('TIP', 'trombocitopenia inmune primaria')",TIP,trombocitopenia inmune primaria
"('UITB', 'unidad de investigación en tuberculosis de barcelona')",UITB,unidad de investigación en tuberculosis de barcelona
"('RG', 'residuo gástrico')",RG,residuo gástrico
"('PCE', 'programa comedores escolares')",PCE,programa comedores escolares
"('NIHSS', 'national institute of health stroke scale')",NIHSS,national institute of health stroke scale
"('CF', 'condición física')",CF,condición física
"('APS', 'atención primaria de salud')",APS,atención primaria de salud
"('SETH', 'sociedad española de trasplante hepático')",SETH,sociedad española de trasplante hepático
"('PC', 'pensamiento crítico')",PC,pensamiento crítico
"('FLPNS', 'fisura labiopalatina no sindrómica')",FLPNS,fisura labiopalatina no sindrómica
"('RAD', 'reacción aguda tras consumo de drogas')",RAD,reacción aguda tras consumo de drogas
"('EO', 'enfermedad osteoarticular')",EO,enfermedad osteoarticular
"('RVR', 'recuento visual de reticulocitos')",RVR,recuento visual de reticulocitos
"('VIH-1', 'virus de inmunodeficiencia humana tipo 1')",VIH-1,virus de inmunodeficiencia humana tipo 1
"('MUE', 'medicina de urgencias y emergencias')",MUE,medicina de urgencias y emergencias
"('OT', 'objetivo terapéutico')",OT,objetivo terapéutico
"('as', 'ancianos')",as,ancianos
"('GMSI', 'gammapatías monoclonales de significado indeterminado')",GMSI,gammapatías monoclonales de significado indeterminado
"('EPI', 'enfermedad de parkinson idiopatica')",EPI,enfermedad de parkinson idiopatica
"('AP', 'angioplastia primaria')",AP,angioplastia primaria
"('SEMN', 'sociedad española de medicina nuclear')",SEMN,sociedad española de medicina nuclear
"('UCIP', 'unidad de cuidado intensivo pediátrico')",UCIP,unidad de cuidado intensivo pediátrico
"('IC 95%', 'intervalo de confianza del 95%')",IC 95%,intervalo de confianza del 95%
"('RNHMD', 'recién nacido hijo de madre diabética')",RNHMD,recién nacido hijo de madre diabética
"('EP', 'enfermedad periodontal')",EP,enfermedad periodontal
"('BGNNF', 'bacilos gramnegativos no fermentadores')",BGNNF,bacilos gramnegativos no fermentadores
"('KDPI', 'kidney donor profile index')",KDPI,kidney donor profile index
"('ALA', 'alfalinolenico')",ALA,alfalinolenico
"('VSP-A', ""vecú et sante perçue de l'adolescent"")",VSP-A,vecú et sante perçue de l'adolescent
"('RV', 'realidad virtual')",RV,realidad virtual
"('TRA', 'técnicas de reproducción asistida')",TRA,técnicas de reproducción asistida
"('TDC', 'trastorno del desarrollo de la coordinación')",TDC,trastorno del desarrollo de la coordinación
"('LEOC', 'litotricia extracorpórea por ondas de choque')",LEOC,litotricia extracorpórea por ondas de choque
"('NLDV', 'nefrectomía laparoscópica del donante vivo')",NLDV,nefrectomía laparoscópica del donante vivo
